"Run","Run ID","metric","step","timestamp","value"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","0","1765782713137","0.05374914165643195"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","0","1765782713137","0.05374914165643195"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","1","1765783455822","0.03461891151423529"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","2","1765784182860","0.028740824694355054"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","3","1765784937899","0.026536537432581733"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","4","1765785666545","0.024583779448438266"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","5","1765786398948","0.023238176853746313"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","6","1765787152845","0.021829169834551007"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","7","1765787886437","0.02146428708123778"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","8","1765788609636","0.020817083720294387"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","9","1765789369036","0.019437552230369973"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","10","1765790111717","0.018724772472515566"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","11","1765790862662","0.018281620581113142"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","12","1765791598871","0.017650551534334726"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","13","1765792322259","0.017496436333073025"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","14","1765793077443","0.016934954557021004"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","15","1765793827943","0.01598748396825763"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","16","1765794546183","0.016129766723329046"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","17","1765795290904","0.015959728504203557"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","18","1765796025160","0.015142957244170915"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","19","1765796782241","0.014859387280123268"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","20","1765797473888","0.014468297929807769"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","21","1765798182021","0.014444617829385244"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","22","1765798925334","0.014218805417979551"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","23","1765799666640","0.013989702288619604"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","24","1765800408362","0.013955341224467514"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","25","1765801155371","0.01350170021074958"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","26","1765801882690","0.013242184837414265"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","27","1765802625326","0.013084588346672487"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","28","1765803382723","0.013032788197888738"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","29","1765804152116","0.012494890044218311"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","30","1765805046249","0.012413075932127848"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","31","1765806048903","0.012348545558212342"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","32","1765806933198","0.012153382147149687"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","33","1765807716026","0.012050708957352541"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","34","1765808472233","0.011756418460114241"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","35","1765809228091","0.011979134897174547"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","36","1765809986832","0.011598465449407423"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","37","1765810736403","0.0115807441544551"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","38","1765811469935","0.011369306493026492"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","39","1765812211888","0.011275632292336987"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","40","1765812946392","0.011126512542312868"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","41","1765813727758","0.011014823978040537"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","42","1765814553690","0.010978132017834015"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","43","1765815338918","0.010916961527526355"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","44","1765816110356","0.01081409287141972"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","45","1765816870814","0.010884957608769702"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","46","1765817631794","0.010885712069769701"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","47","1765819089802","0.010761097130516617"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","48","1765819858571","0.010898904157560375"
"large_20251215_095952","5c48ae05ed934b9a80b3a3e76b3dd89e","train_loss","49","1765820572346","0.010924984309010618"
